Date,Time (UTC),Exchange,Symbol,Side,Quantity,Price,Total USD,Fee (est.),Net Amount,Order ID,Mode,Notes
,,,,,,,,,,,"NOTE","Hey, if you're at this stage of the video, you must be enjoying it... perhaps you could hit subscribe now? :)"
2026-04-19,01:57:14,BitGet,BTCUSDT,,,75640.44,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-19,02:55:50,BitGet,BTCUSDT,,,75569.80,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-19,02:56:48,BitGet,BTCUSDT,,,75565.01,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-19,02:56:48,BitGet,ETHUSDT,,,2340.90,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-19,02:57:45,BitGet,BTCUSDT,,,75558.35,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-19,02:57:45,BitGet,ETHUSDT,,,2339.84,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-19,02:58:29,BitGet,BTCUSDT,,,75541.01,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-19,02:58:29,BitGet,ETHUSDT,,,2339.42,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-19,02:59:15,BitGet,BTCUSDT,,,75530.01,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-19,02:59:15,BitGet,ETHUSDT,,,2339.45,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-19,02:59:51,BitGet,BTCUSDT,,,75509.45,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-19,02:59:51,BitGet,ETHUSDT,,,2339.45,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-19,02:59:51,BitGet,RNDRUSDT,,,7.03,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-27,14:01:51,BitGet,BTCUSDT,,,77793.12,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-27,14:01:51,BitGet,ETHUSDT,,,2313.23,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (reversal setup in downtrend)"
2026-04-28,23:41:32,BitGet,DOGEUSDT,,,0.10,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-29,03:52:15,BitGet,BTCUSDT,,,76967.36,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-29,03:52:16,BitGet,SOLUSDT,,,84.60,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-29,03:52:16,BitGet,SUIUSDT,,,0.93,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-29,03:52:17,BitGet,ADAUSDT,,,0.25,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-29,03:52:17,BitGet,AVAXUSDT,,,9.25,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-29,03:52:17,BitGet,DOGEUSDT,,,0.10,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-29,03:52:22,BitGet,BTCUSDT,,,76967.37,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-29,03:52:22,BitGet,SOLUSDT,,,84.60,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-29,03:52:22,BitGet,SUIUSDT,,,0.93,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-29,03:52:22,BitGet,ADAUSDT,,,0.25,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-29,03:52:23,BitGet,AVAXUSDT,,,9.25,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
2026-04-29,03:52:23,BitGet,DOGEUSDT,,,0.10,,,,BLOCKED,BLOCKED,"Failed: RSI(3) below 30 (snap-back setup in uptrend)"
